г;Город;Город
пгт;Поселок_городского_типа;Поселок городского типа
рп;Рабочий_поселок;Рабочий поселок
кп;Курортный_поселок;Курортный поселок
дп;Дачный_поселок;Дачный поселок
гп;Городской_поселок;Городской поселок
п;Поселок;Поселок
к;Кишлак;Кишлак
нп;Населенный_пункт;Населенный пункт
п.ст;Поселок_при_станции;Поселок при станции
п ж/д ст;Поселок_при_железнодорожной_станции;Поселок при железнодорожной станции
ж/д блокпост;Железнодорожный_блокпост;Железнодорожный блокпост
ж/д будка;Железнодорожная_будка;Железнодорожная будка
ж/д ветка;Железнодорожная_ветка;Железнодорожная ветка
ж/д казарма;Железнодорожная_казарма;Железнодорожная казарма
ж/д комбинат;Железнодорожный_комбинат;Железнодорожный комбинат
ж/д платформа;Железнодорожная_платформа;Железнодорожная платформа
ж/д площадка;Железнодорожная_площадка;Железнодорожная площадка
ж/д путевой пост;Железнодорожный_путевой_пост;Железнодорожный путевой пост
ж/д остановочный пункт;Железнодорожный_остановочный_пункт;Железнодорожный остановочный пункт
ж/д рзд;Железнодорожный_разъезд;Железнодорожный разъезд
ж/д ст;Железнодорожная_станция;Железнодорожная станция
м;Местечко;Местечко
д;Деревня;Деревня
с;Село;Село
сл;Слобода;Слобода
ст;Станция;Станция
ст-ца;Станица;Станица
у;Улус;Улус
х;Хутор;Хутор
рзд;Разъезд;Разъезд
зим;Зимовье;Зимовье
аул;Аул;Аул
аал;Аал;Аал
свх;Совхоз;Совхоз
дом отдыха;Дом_отдыха;Дом отдыха
мыс;Мыс;Мыс
база;База;База
маяк;Маяк;Маяк
казарма;Казарма;Казарма
заимка;Заимка;Заимка
кордон;Кордон;Кордон
погост;Погост;Погост
починок;Починок;Починок